Name,Age,Nationality
A. Diamanti,35,Italy
E. Cardona,25,Colombia
S. Prcić,24,Bosnia Herzegovina
Leo Caldeirinha,34,Brazil
T. Sainsbury,26,Australia
Edgar Ié,24,Portugal
Alvildo Sousa,34,Brazil
F. Đuričić,26,Serbia
J. Boëtius,24,Netherlands
F. Mubele,24,DR Congo
A. Chávez,27,Argentina
V. Kovalenko,22,Ukraine
Y. Kaboul,32,France
R. Meggiorini,32,Italy
B. Sagna,35,France
Kahraba,24,Egypt
Rafael Vaz,29,Brazil
Robson Denho,26,Brazil
Renatinho,29,Brazil
J. Toljan,23,Germany
Claudiano Sobrino,34,Brazil
S. M'Bia,32,Cameroon
Hélton Celanova,26,Brazil
S. Sosa,31,Uruguay
Erick Gameira,26,Brazil
Pol Lirola,20,Spain
M. Jajalo,30,Bosnia Herzegovina
H. Mukhtar,23,Germany
William,23,Brazil
G. Bong,30,Cameroon
N. Hult,28,Sweden
J. Geis,24,Germany
L. Cavallini,25,Canada
P. Verhaegh,34,Netherlands
Jadson Vidigal,26,Brazil
Álvaro Jiménez,23,Spain
O. Vranješ,28,Bosnia Herzegovina
M. Bauer,26,Austria
O. Kayode,25,Nigeria
I. Nestorovski,28,FYR Macedonia
F. Castillo,26,Colombia
Bruno Varela,23,Portugal
L. Narsingh,27,Netherlands
K. Djidji,25,Ivory Coast
L. Robles,34,United States
A. Erokhin,28,Russia
G. Shinnie,26,Scotland
L. Rizzo,26,Italy
I. Konaté,19,France
B. Ecuélé Manga,29,Gabon
J. Córdoba,25,Colombia
Edvaldisco,26,Brazil
G. Sakai,27,Japan
A. González,23,Mexico
R. Rosales,29,Venezuela
J. Dueñas,29,Mexico
N. De Préville,27,France
Diogo Figueiras,27,Portugal
A. El Ghazi,23,Netherlands
P. Aguilar,32,Mexico
K. Dolly,25,South Africa
F. Mora,24,Chile
P. Barrientos,33,Argentina
H. Rodallega,32,Colombia
A. Epureanu,31,Moldova
M. Caraglio,29,Argentina
S. Lung,29,Romania
Maurício,26,Brazil
A. Boruc,38,Poland
C. Gordon,35,Scotland
F. Santander,27,Paraguay
A. Ramírez,37,Colombia
M. Cabrera,32,Uruguay
B. Valdez,25,Paraguay
Pozo,22,Spain
Bruno Gaspar,25,Portugal
N. Rigoni,27,Italy
I. Kahveci,22,Turkey
Sebas Couteira,30,Brazil
Walace,23,Brazil
R. Shawcross,30,England
David Simão,28,Portugal
C. Rius,29,Argentina
B. Martins Indi,26,Netherlands
P. Rosario,21,Netherlands
Álvaro García,25,Spain
Kauã Abranches,34,Brazil
A. Gyan,32,Ghana
D. Simpson,31,England
H. Seferović,26,Switzerland
R. Sobhi,21,Egypt
P. Gazzaniga,26,Argentina
F. Mussis,26,Argentina
A. Masina,24,Italy
J. Błaszczykowski,32,Poland
J. Beausejour,34,Chile
J. Livermore,28,England
D. Kourmpelis,24,Greece
Nicolás Formido,30,Brazil
J. Aidoo,22,Ghana
Melendo,20,Spain
E. Pieters,29,Netherlands
Luisinho,33,Portugal
A. Semenov,29,Russia
Ramalho,25,Spain
Kévin Rodrigues,24,Portugal
K. Piątek,23,Poland
R. Vlaar,33,Netherlands
R. van Wolfswinkel,29,Netherlands
Ilie Sánchez,27,Spain
Ewerton,29,Brazil
A. Chumacero,27,Bolivia
Dani Pacheco,27,Spain
L. Rodríguez,33,Argentina
A. Jahović,31,FYR Macedonia
M. Britos,32,Uruguay
M. Rits,24,Belgium
S. Deli,26,Ivory Coast
H. Traoré,26,Mali
P. Aguedar,30,Paraguay
Crespo,31,Spain
Rafael,28,Brazil
Bigas,27,Spain
L. Öztunalı,22,Germany
M. Jojić,26,Serbia
Vitor Bueno,23,Brazil
G. Til,20,Netherlands
I. Pussetto,22,Argentina
A. Ajeti,21,Switzerland
Luiz Araújo,22,Brazil
A. Besedin,22,Ukraine
T. Didillon,22,France
Arana,21,Brazil
Zainadine,30,Mozambique
K. Théophile-Catherine,28,France
A. Gianniotis,25,Greece
Bruno Saltor,37,Spain
M. Stendera,22,Germany
S. Kalu,20,Nigeria
Juan Cala,28,Spain
J. Tavernier,26,England
W. McKennie,19,United States
W. Tesillo,28,Colombia
A. Mariappa,31,Jamaica
S. Morrison,27,England
J. Brenet,24,Netherlands
B. Dack,24,England
Y. Kubo,24,Japan
T. Pukki,28,Finland
William,26,Brazil
L. Melgarejo,27,Paraguay
J. Jones,26,Trinidad & Tobago
I. Sosa,31,Argentina
M. Ekici,28,Turkey
A. Nyom,30,Cameroon
K. Konaté,26,Ivory Coast
F. Đorđević,30,Serbia
E. Room,29,Curacao
T. Usami,26,Japan
Ruben Lima,28,Portugal
Fábio Espinho,32,Portugal
L. Marković,24,Serbia
J. Barrera,22,Colombia
R. Mora,30,Uruguay
D. Lazović,27,Serbia
M. Burda,23,Ukraine
Tana,27,Spain
A. Miranchuk,22,Russia
L. Grabban,30,England
I. Koné,30,Ivory Coast
J. Hušbauer,28,Czech Republic
A. Soumaoro,26,France
Patric,30,Brazil
P. Diamanka,28,Senegal
A. Pulido,27,Mexico
Roger Guedes,21,Brazil
D. N'Doye,33,Senegal
S. Johansen,27,Norway
I. Afellay,32,Netherlands
A. Zambo Anguissa,22,Cameroon
N. Lombaerts,33,Belgium
C. Chambers,23,England
I. Sangaré,20,Ivory Coast
A. Sulu,32,Turkey
M. Pucciarelli,27,Italy
R. Saïss,28,Morocco
J. Haberer,24,Germany
E. Dennis,20,Nigeria
J. Kana-Biyik,28,Cameroon
V. Barkas,24,Greece
K. Johnsson,28,Sweden
S. Floccari,36,Italy
S. Prödl,31,Austria
V. Laurini,29,France
A. Eschenko,34,Russia
S. Okaka,28,Italy
J. Kodjia,28,Ivory Coast
A. Oyongo,27,Cameroon
S. Bolat,29,Turkey
A. Mitriţă,23,Romania
A. Behich,27,Australia
O. Tannane,24,Morocco
F. Haroun,32,Belgium
D. Gosling,28,England
Pedro Santos,30,Portugal
J. Larsen,19,Denmark
F. Bastians,30,Germany
J. Ralls,24,England
S. Vilakazi,28,South Africa
Victorino Magela,30,Brazil
Marc Navarro,22,Spain
K. Kamara,33,Sierra Leone
Dória,23,Brazil
S. Serdar,21,Germany
O. Tufan,23,Turkey
Pedro Rebocho,23,Portugal
I. Strinić,30,Croatia
S. Grytebust,28,Norway
W. Hahn,26,Netherlands
Adrianiscito,26,Brazil
L. Fernández,27,Argentina
A. Lozano,25,Honduras
M. Tisserand,25,DR Congo
M. Ruben,31,Argentina
T. Abraham,20,England
R. Neustädter,30,Russia
Bebé,27,Portugal
M. Vydra,26,Czech Republic
J. Leca,32,France
Carmona,30,Spain
C. Lema,28,Argentina
Dentinho,29,Brazil
L. Villafañez,26,Argentina
D. Brasanac,26,Serbia
S. Kljestan,32,United States
W. Morelo,31,Colombia
M. Diop,30,Senegal
C. Benavente,24,Peru
A. del Valle,29,Colombia
R. Ibarra,27,Ecuador
J. Musso,24,Argentina
Padilhisco,26,Brazil
F. Forestieri,28,Italy
A. Bedoya,31,United States
A. Romao,34,Togo
O. Gladkyi,30,Ukraine
A. Hack,24,Germany
D. McCarty,31,United States
K. Adénon,32,Benin
J. Plata,26,Ecuador
J. Stephens,24,England
M. Ødegaard,19,Norway
Rúben Semedo,24,Portugal
Sequeira,27,Portugal
I. Chochev,25,Bulgaria
M. Gulde,27,Germany
Bruno César,29,Brazil
F. Jara,29,Argentina
Gabrìel,25,Brazil
M. Bakalorz,28,Germany
A. Rossi,22,Argentina
Álex Moreno,25,Spain
F. Hadergjonaj,23,Switzerland
O. Kucher,35,Ukraine
M. Diouf,30,Senegal
G. Burdisso,29,Argentina
V. Misidjan,24,Netherlands
A. Correa,33,Colombia
R. Salin,33,France
F. Valverde,19,Uruguay
M. Etxeberría,26,Paraguay
R. Haps,25,Netherlands
Cho Hyun Woo,26,Korea Republic
Y. Gourcuff,31,France
Jesus Andradaldo,26,Brazil
P. Mpoku,26,DR Congo
D. Musto,31,Argentina
M. Vargas,21,Argentina
A. Baba,23,Ghana
S. Davis,33,Northern Ireland
S. Özbayraklı,28,Turkey
Mattheus Oliveira,23,Brazil
M. Le Marchand,28,France
Régis,25,Brazil
Nacho,29,Spain
B. Gibson,25,England
C. Taylor,24,England
T. Kędziora,24,Poland
R. Saravia,25,Argentina
D. Drexler,28,Germany
S. Falette,26,Guinea
O. Etebo,22,Nigeria
A. Cerci,30,Italy
L. Rodríguez,21,Argentina
R. Hubník,34,Czech Republic
J. Andersen,22,Denmark
Fran Beltrán,19,Spain
D. Viera,27,Paraguay
F. Zampedri,30,Argentina
H. Lindner,27,Austria
J. Sánchez Miño,28,Argentina
M. Pavlović,28,Croatia
A. Koné,34,Ivory Coast
J. Ferri,26,France
C. Bassogog,22,Cameroon
M. Diagne,26,Senegal
J. Ibe,22,England
D. Heuer Fernandes,25,Portugal
A. Fulgini,21,France
M. Jensen,30,Denmark
A. Bjelland,29,Denmark
J. Fuenzalida,33,Chile
Juanfran,29,Spain
S. Kittel,25,Germany
V. Rosier,21,France
K. Waston,30,Costa Rica
P. Žulj,25,Austria
L. Grant,35,England
G. Jara,32,Chile
S. Lainer,25,Austria
Óscar Plano,27,Spain
De la Bella,32,Spain
R. Cohade,33,France
P. Morales,33,Chile
D. Arismendi,30,Uruguay
N. Stanciu,25,Romania
D. Ćaleta-Car,21,Croatia
L. Fer,28,Netherlands
A. Williams,33,Wales
J. Bryan,24,England
Ricardo Costa,37,Portugal
Ailton,23,Brazil
R. Cota,30,Mexico
G. Margreitter,29,Austria
A. Rebrov,34,Russia
Djavan,30,Brazil
A. Chedjou,33,Cameroon
Luna,27,Spain
F. Ricca,23,Uruguay
C. Awaziem,21,Nigeria
F. Carrizo,27,Argentina
A. Ragusa,28,Italy
A. Wan-Bissaka,20,England
J. Biabiany,30,France
B. Mensah,23,Ghana
D. Padelli,32,Italy
D. Tošić,33,Serbia
E. Bauthéac,30,France
Tiago Silva,25,Portugal
A. Tameze,24,Cameroon
V. Manceau,28,France
F. Bardi,26,Italy
L. Advíncula,28,Peru
J. Gallardo,23,Mexico
Enaldo Toxeto,30,Brazil
Camilo,29,Brazil
J. Schmid,28,France
Welthon,26,Brazil
Moi Gómez,24,Spain
Marc Muniesa,26,Spain
Samu Saiz,27,Spain
J. Sorbon,34,France
S. Long,31,Republic of Ireland
S. Wuytens,28,Belgium
S. Araujo,26,Argentina
André Martins,28,Portugal
S. March,23,England
F. Chafik,31,Morocco
K. Ajer,20,Norway
K. Grosicki,30,Poland
Alex Bergantiños,33,Spain
E. Derdiyok,30,Switzerland
David Braz,31,Brazil
D. Roef,24,Belgium
Lombán,31,Spain
J. Drobný,38,Czech Republic
A. Acquah,26,Ghana
T. Smith,26,England
R. Nuzzolo,34,Switzerland
G. Jung,23,Germany
M. Iturra,34,Chile
Molinero,32,Spain
Pedro Sá,24,Portugal
D. Pérez,29,Argentina
B. Cesar,35,Slovenia
D. Braghieri,31,Argentina
C. Álvarez,32,Argentina
Carlos Ponck,23,Cape Verde
R. Assalé,24,Ivory Coast
M. Miazga,22,United States
Léo Bonatini,24,Brazil
B. Fernández,23,Argentina
S. Hutchinson,27,England
S. Rybalka,28,Ukraine
N. Acevedo,29,Argentina
J. Lucero,26,Argentina
G. Chakvetadze,18,Georgia
I. Fossum,21,Norway
V. Karavaev,23,Russia
T. Leibold,24,Germany
G. Arias,30,Chile
T. Huddlestone,31,England
A. Clayton,29,England
K. Nakamura,37,Japan
L. Koné,29,Ivory Coast
M. Vejinović,28,Netherlands
H. Van Crombrugge,25,Belgium
M. Russ,32,Germany
Pietrson Mendes,34,Brazil
Salvi Sánchez,27,Spain
E. Pavez,28,Chile
I. Kovács,26,Hungary
Nildo Petrolina,32,Brazil
Y. Seleznyov,32,Ukraine
C. Löwe,29,Germany
V. Cantillo,24,Colombia
J. Ward,28,England
S. Skrzybski,25,Germany
Diego Oliveira,28,Brazil
Luis Milla,23,Spain
A. Ba,27,Senegal
Jaim Abra,26,Brazil
S. von Bergen,35,Switzerland
S. Armenteros,28,Sweden
Y. Öztekin,31,Turkey
J. Molina,30,Mexico
R. Gikiewicz,30,Poland
G. Silva,24,Uruguay
W. Hoolahan,36,Republic of Ireland
Freder Cabral,26,Brazil
J. Gómez,28,Argentina
Rodrigo Galo,31,Brazil
R. Fredericks,25,England
M. Ishak,25,Sweden
N. Gießelmann,26,Germany
Luis Couprins,30,Brazil
F. Kudryashov,31,Russia
S. Zoller,27,Germany
D. Brooks,20,Wales
M. Hawsawi,26,Saudi Arabia
M. Bolaños,28,Ecuador
J. St. Juste,21,Netherlands
João Aurélio,29,Portugal
J. Marié,26,France
R. Benzar,26,Romania
G. Sertic,28,France
R. Philippoteaux,30,France
Gerson,21,Brazil
B. Assombalonga,25,DR Congo
J. Šural,28,Czech Republic
Gerso,27,Guinea Bissau
M. Urruti,27,Argentina
D. Ciofani,32,Italy
Etxeita,30,Spain
L. Ayling,26,England
K. Saief,24,United States
S. Thioub,23,France
D. Bronn,23,Tunisia
J. Basanta,34,Argentina
Diego Farías,28,Brazil
L. Rodríguez,27,Mexico
Marcos Paneira,30,Brazil
Cifuentes,39,Spain
K. Bartley,27,England
K. Monnet-Paquet,29,France
G. Cameron,32,United States
R. Yabo,26,Germany
A. Najar,25,Honduras
B. Ramselaar,22,Netherlands
T. Ciğerci,26,Turkey
O. Pérez,37,Argentina
F. Mattiello,22,Italy
V. Forren,30,Norway
F. Diedhiou,25,Senegal
K. Darlow,27,England
F. Novák,28,Czech Republic
P. Martinez,29,France
M. Santos,25,Uruguay
J. Kopic,28,Czech Republic
N. Al Abed,28,Saudi Arabia
C. Keşerü,31,Romania
Ferrán Torres,18,Spain
S. Kapino,24,Greece
O. Opazo,27,Chile
André Geraldes,27,Portugal
Juli Piresinho,30,Brazil
J. Schlupp,25,Ghana
Vinicius Cardenha,26,Brazil
B. Lozano,24,Uruguay
P. Hrošovský,26,Slovakia
Gabriel Silva,27,Brazil
O. Sorg,28,Germany
B. Johnsen,26,Norway
M. Yanga-Mbiwa,29,France
M. Britos,29,Uruguay
R. Hennings,30,Germany
J. Bamba,22,France
Ivo Rodrigues,23,Portugal
E. Audero,21,Italy
A. Maier,19,Germany
F. Tissone,31,Argentina
M. Dituro,31,Argentina
G. Bia,28,Belgium
B. Alıcı,21,Turkey
G. Bussmann,27,France
C. Buchtmann,26,Germany
J. Al Hussien,35,Syria
G. Poblete,25,Argentina
M. Niakhaté,22,France
T. Minamino,23,Japan
N. Benedetti,21,Colombia
Y. Sanogo,25,France
E. Álvarez,20,Mexico
S. Sunzu,29,Zambia
M. Kanazaki,29,Japan
Paulinho,26,Portugal
L. Bustamante,32,Argentina
E. Schelotto,29,Italy
Ignasi Miquel,25,Spain
Álex Gallar,26,Spain
Orlando Sá,30,Portugal
T. Ince,26,England
Víctor Rodríguez,28,Spain
L. Baal,32,France
Élton,32,Brazil
A. Ounas,21,Algeria
H. Afful,32,Ghana
C. Clemens,26,Germany
F. Amorebieta,33,Venezuela
J. O'Connell,24,England
F. Dionisi,31,Italy
H. Harbaoui,33,Tunisia
M. Nervo,27,Argentina
J. Djourou,31,Switzerland
P. Karlsson,32,Sweden
M. Rangel,27,Colombia
S. Pérez,25,Colombia
F. Manríquez,34,Chile
Abraham González,32,Spain
Ailton Valpaços,26,Brazil
J. Koundé,19,France
T. Xhaka,27,Albania
E. Mena,29,Chile
W. Janssen,31,Netherlands
Douglas Armeira,26,Brazil
M. Demiral,20,Turkey
D. Vera,33,Uruguay
M. Kamiński,26,Poland
S. Cárdenas,28,Colombia
K. Phillips,22,England
M. Rensing,34,Germany
Y. Mokhtar,26,Morocco
B. Dejaegere,27,Belgium
R. Orsolini,21,Italy
S. de Jong,29,Netherlands
J. Riedewald,21,Netherlands
C. Yacob,30,Argentina
Yan Junling,27,China PR
Miguel Veloso,32,Portugal
B. Zuculini,25,Argentina
J. Moreira,28,Paraguay
B. Hamid,27,United States
V. Qazaishvili,25,Georgia
G. Toledo,28,Argentina
E. Barreto,33,Paraguay
N. Bungert,31,Germany
C. Montes,21,Mexico
J. Poulsen,34,Denmark
A. Grünwald,29,Austria
S. Clucas,27,England
J. Bořil,27,Czech Republic
J. Lewis,30,England
D. Nagbe,27,United States
J. Gandolfi,37,Argentina
Fabiano,30,Brazil
J. Mišić,24,Croatia
J. Gélin,21,France
S. Bertoli,40,Argentina
Xeka,23,Portugal
M. Rosenberg,35,Sweden
Raul García,29,Spain
G. Caprari,24,Italy
Diego Lopes,24,Brazil
M. Banguera,32,Ecuador
O. Gonzalez,29,United States
Costinha,25,Portugal
E. Palacios,19,Argentina
Sergio Tejera,28,Spain
Pedro Rocha,23,Brazil
K. Long,27,Republic of Ireland
M. Stekelenburg,35,Netherlands
Samir,23,Brazil
Carlos Hernández,27,Spain
L. Martínez Quarta,22,Argentina
F. Barba,24,Italy
T. Elyounoussi,30,Norway
T. Krul,30,Netherlands
R. Morioka,27,Japan
J. Valdés,37,Chile
Bruno Xadas,20,Portugal
A. Büttner,29,Netherlands
C. Akolo,23,DR Congo
Cristiano,31,Brazil
K. Möhwald,24,Germany
A. Rodríguez,29,Colombia
J. Góralski,25,Poland
S. Larsson,33,Sweden
D. Ndongala,27,DR Congo
S. Carson,32,England
M. Matip,32,Cameroon
A. Ulmer,32,Austria
J. Pied,29,France
M. van der Hoorn,25,Netherlands
M. Gavranović,28,Switzerland
J. Stryger Larsen,27,Denmark
G. Torje,28,Romania
C. Mayada,27,Uruguay
M. Pérez,25,Mexico
S. Arfield,29,Canada
S. Ribas,30,Uruguay
A. Christiansen,28,Denmark
F. Aguilar,25,Colombia
O. Veigneau,32,France
Gus Outomouro,34,Brazil
R. Czichos,28,Germany
Y. Atal,22,Algeria
C. Doukouré,25,Ivory Coast
F. Sambueza,29,Argentina
Juliano Mascarinhas,34,Brazil
F. Rinaudo,31,Argentina
S. Schrijvers,21,Belgium
J. Ikoné,20,France
A. Smithies,28,England
T. Ream,30,United States
A. Maxim,27,Romania
N. Navarro,33,Argentina
A. Rispoli,29,Italy
I. Baldé,29,Senegal
Miguel Vieira,27,Portugal
L. Freeman,26,England
G. Hooper,30,England
R. Emond,26,Belgium
E. Terranova,31,Italy
S. Dewaest,27,Belgium
Nélson Oliveira,26,Portugal
A. Losilla,32,France
F. Meza,26,Colombia
C. Mathenia,26,Germany
O. Ntcham,22,France
M. Knoll,27,Germany
A. Bakasetas,25,Greece
M. Barrios,27,Colombia
S. Salcedo,20,Paraguay
Perdigão,26,Brazil
Galeno,20,Brazil
Bóveda,29,Spain
Marc Mateu,28,Spain
G. Saville,25,Northern Ireland
R. Christie,23,Scotland
P. Foden,18,England
T. Foket,23,Belgium
P. Schiattarella,31,Italy
F. Sørensen,26,Denmark
D. Ward,25,Wales
L. Diony,25,France
R. Krunić,24,Bosnia Herzegovina
Riesgo,34,Spain
J. Howson,30,England
J. Van Damme,34,Belgium
M. Martins,31,Bolivia
W. Faríñez,20,Venezuela
B. Dibassy,28,Mali
T. Reginiussen,32,Norway
G. Rivas,29,Venezuela
Benjamin Meseira,34,Brazil
C. Ninga,25,Chad
M. Suttner,31,Austria
G. van der Wiel,30,Netherlands
W. González,23,Paraguay
T. Hořava,30,Czech Republic
P. Tachtsidis,27,Greece
W. Saïd,23,France
E. Cerutti,26,Argentina
Gustavo Lobateiro,30,Brazil
Pere Milla,25,Spain
J. Johansson,28,Sweden
T. Murg,23,Austria
J. Ramírez,25,Argentina
F. Vicari,23,Italy
K. Adams Nuhu,23,Ghana
P. Nardi,24,France
H. Magnússon,25,Iceland
O. Edouard,20,France
D. Rice,19,Republic of Ireland
Evandro Rochedo,34,Brazil
K. Westwood,33,Republic of Ireland
Bracali,37,Brazil
M. Sperduti,32,Argentina
Y. Gómez Andrade,26,Colombia
G. Peruzzi,26,Argentina
Toni Villa,23,Spain
Y. Gordillo,26,Colombia
Ricardo,31,Portugal
B. Sanneh,23,Gambia
Michel Cruceiro,26,Brazil
L. Burián,34,Uruguay
M. Tekdemir,30,Turkey
K. Lamprou,26,Greece
I. Mbaye,23,Senegal
A. Browne,23,Republic of Ireland
G. Pazzini,33,Italy
Eduardo,25,Brazil
C. Santos,30,Venezuela
E. Mendy,26,Senegal
M. Ngadeu-Ngadjui,27,Cameroon
L. Mazzitelli,22,Italy
J. Lolley,25,England
A. Traoré,29,Burkina Faso
V. Stocker,29,Switzerland
D. Alar,28,Austria
J. Añor,24,Venezuela
A. Donis,21,Greece
M. Gazzola,33,Italy
F. Diagne,28,Senegal
S. Schaars,34,Netherlands
M. Poundjé,25,France
F. Hinestroza,28,Colombia
A. Hahn,27,Germany
V. Shepelev,21,Ukraine
M. Leitner,25,Germany
R. Skov,22,Denmark
B. Guzan,33,United States
M. Mitrović,24,Croatia
A. Luthe,31,Germany
A. Traoré,28,Ivory Coast
N. Uysal,27,Turkey
G. Donati,28,Italy
A. Ujah,27,Nigeria
A. Kravets,29,Ukraine
Z. Tomašević,28,Montenegro
M. Borjan,30,Canada
S. Lukić,21,Serbia
C. Goldson,25,England
Rubén Alcaraz,27,Spain
L. Ulloa,31,Argentina
Iván López,24,Spain
S. Amrabat,21,Morocco
M. Wöber,20,Austria
F. Lucioni,30,Italy
Calero,22,Spain
C. Marrugo,32,Colombia
J. Forlín,30,Argentina
L. Janson,23,Argentina
B. Bolingoli,23,Belgium
Thiago Santana,25,Brazil
K. Rausch,28,Russia
N. Etheridge,28,Philippines
Aitor Sanz,33,Spain
Frederico Venâncio,25,Portugal
M. Grujić,22,Serbia
M. Langerak,29,Australia
H. Manzala,24,DR Congo
Paulinho,32,Brazil
W. Troost-Ekong,24,Nigeria
D. Fagundez,23,Uruguay
U. Demirok,29,Turkey
R. Kruse,29,Australia
T. Matlaba,30,South Africa
G. Banguera,22,Colombia
A. Özbiliz,28,Armenia
S. Al Dawsari,26,Saudi Arabia
I. Success,22,Nigeria
A. Long,25,United States
M. Škoda,32,Czech Republic
A. Diakhaby,21,France
D. Kadah,32,Turkey
A. Ríos,29,Mexico
J. Mateta,21,France
F. Cacciatore,31,Italy
R. van Rhijn,27,Netherlands
R. Pérez,28,Colombia
A. Baumjohann,31,Germany
R. Elm,30,Sweden
H. Kaldırım,28,Turkey
F. Monetti,29,Argentina
K. Nababkin,31,Russia
S. Williams,31,Republic of Ireland
M. Stępiński,23,Poland
M. Pazdan,30,Poland
T. Al Jassam,33,Saudi Arabia
M. Heller,32,Germany
V. Pajot,27,France
Y. Asad,23,Argentina
Y. Banana,26,Cameroon
W. Montillo,34,Argentina
L. Waldschmidt,22,Germany
Y. Makarenko,27,Ukraine
J. Mæhle,21,Denmark
A. Reach,25,England
Y. Ayhan,36,Turkey
N. Skubic,29,Slovenia
Frédéric Mendy,29,Guinea Bissau
D. Pizarro,38,Chile
Pierrino Faria,30,Brazil
Adrián González,30,Spain
F. Tobio,28,Argentina
R. Sigurðsson,32,Iceland
K. Reichel,31,Germany
Nivo Serpinho,34,Brazil
M. Wagué,27,Mali
M. Klich,28,Poland
A. Abdennour,28,Tunisia
B. Wood,25,United States
Álex Pérez,26,Spain
G. Cano,30,Argentina
I. Arboleda,22,Colombia
A. Domínguez,31,Ecuador
O. Kragl,28,Germany
José Rodríguez,23,Spain
F. Pardo,27,Colombia
R. Doan,20,Japan
O. Hiljemark,26,Sweden
J. McGinn,23,Scotland
V. Vada,22,Argentina
R. Halliche,31,Algeria
L. Marrone,28,Italy
G. Cimirot,25,Bosnia Herzegovina
K. Wilczek,30,Poland
João Amaral,26,Portugal
R. Bengtsson,32,Sweden
E. Johansson,29,Sweden
Hélder Lopes,29,Portugal
Serginho,24,Brazil
M. Linnes,26,Norway
S. Tibbling,23,Sweden
S. Simič,23,Czech Republic
W. Trapp,25,United States
N. Radonjić,22,Serbia
M. Sau,30,Italy
J. Schieber,29,Germany
Botía,29,Spain
W. Kanon,24,Ivory Coast
Amilton,28,Brazil
J. Ito,25,Japan
Edgar Badía,26,Spain
N. Penneteau,37,France
V. Lazaro,22,Austria
V. Wormgoor,29,Netherlands
A. Hunou,24,France
L. Gamba,31,Argentina
Kim Seung Joon,23,Korea Republic
R. Krhin,28,Slovenia
J. Herrera,37,Chile
B. Stancu,31,Romania
A. Tashaev,24,Russia
M. Frantz,31,Germany
R. Bezus,27,Ukraine
Shin Hwa Yong,35,Korea Republic
R. Genevois,30,Haiti
M. Degenek,24,Australia
Oswaldito Cuba,34,Brazil
C. Rigamonti,31,Argentina
Wallace,30,Brazil
J. Kovařík,30,Czech Republic
Douglas Luiz,20,Brazil
V. Torosidis,33,Greece
N. Isimat-Mirin,26,France
Rúben Ferreira,28,Portugal
L. Gil,27,Argentina
P. Diop,20,Spain
Z. Machach,22,France
M. Bettinelli,26,England
A. Peñaranda,21,Venezuela
K. Frei,24,Turkey
Sergi Samper,23,Spain
R. Lod,25,Finland
H. Saivet,27,Senegal
A. Regattin,26,Morocco
Mauro Cildinho,34,Brazil
J. Ikoko,24,DR Congo
P. Chavarría,30,Argentina
R. Bennett,28,England
K. Hansen,29,Denmark
S. Gürler,26,Turkey
D. Dainelli,39,Italy
M. Mantovani,33,Argentina
A. Zeneli,23,Kosovo
João Carvalho,21,Portugal
N. Barazite,28,Netherlands
M. Aguirregaray,29,Uruguay
A. Ricaurte,26,Colombia
D. Randolph,31,Republic of Ireland
Omar Ramos,30,Spain
D. Jensen,26,Denmark
J. Duque,26,Colombia
E. Reynoso,22,Argentina
J. Elez,24,Croatia
J. Gutiérrez,34,Argentina
M. Leye,35,Senegal
K. Naughton,29,England
Caio Secco,27,Brazil
B. Bianchi,29,Argentina
E. Barco,19,Argentina
T. Leistner,27,Germany
R. Kishna,23,Netherlands
F. Bachirou,28,Comoros
K. Rezaei,26,Iran
D. Vukovic,33,Australia
R. Nouri,33,France
J. Gómez,24,Argentina
Y. Gouffran,32,France
Manu García,20,Spain
I. Köybaşı,28,Turkey
Juan Villar,30,Spain
Y. Namli,24,Denmark
G. Blanco,26,Argentina
A. Ramos,32,Colombia
M. Jedinák,33,Australia
M. Rybus,28,Poland
J. Barroso,33,Argentina
A. Cohen,29,Israel
B. Raman,23,Belgium
A. McGeady,32,Republic of Ireland
B. Reid,25,England
Hervías,25,Spain
L. Pocrnjic,36,Argentina
S. Ingason,24,Iceland
T. Heurtaux,29,France
G. Wikheim,25,Norway
Valdivia,23,Brazil
S. Cáseres,21,Argentina
A. Gunnarsson,29,Iceland
L. Hinterseer,27,Austria
S. Peeters,26,Belgium
U. Agbo,22,Nigeria
D. Luckassen,22,Netherlands
M. Terrier,21,France
Marcos Guilherme,22,Brazil
T. Parker,25,United States
A. Lookman,20,England
P. Mouche,30,Argentina
A. Rosina,34,Italy
B. Bannan,28,Scotland
Édundo Oliveira,26,Brazil
Guilherme,27,Brazil
A. Solari,26,Argentina
H. Barnes,20,England
V. Coufal,25,Czech Republic
S. Di Carmine,29,Italy
C. Roldan,23,United States
F. Lemoine,31,France
Djalma,31,Angola
D. Lukebakio,20,Belgium
Y. Benalouane,31,Tunisia
L. Pisculichi,34,Argentina
Edinho,35,Portugal
Paolito Serra,26,Brazil
J. Fleck,26,Scotland
L. Rosić,25,Serbia
F. Soldano,23,Argentina
A. Hansen,28,Norway
V. García,24,Venezuela
F. Sánchez,28,Argentina
C. Carmona,31,Chile
B. Sigurðarson,27,Iceland
Y. Yotún,28,Peru
G. Zardes,26,United States
J. Ménez,31,France
S. Prediger,31,Argentina
A. Webster,23,England
I. Damonte,36,Argentina
A. Dioussé,20,Senegal
Laure,33,Spain
N. Karelis,26,Greece
Vesga,25,Spain
V. Jovanović,22,Serbia
J. Filipović,25,Croatia
J. Cuevas,30,Argentina
Rober Ibáñez,25,Spain
J. Zmrhal,24,Czech Republic
J. Murphy,23,England
D. Siovas,29,Greece
J. Pohjanpalo,23,Finland
